attacker_id,systems,targets,event_count
A0371,2,Conpot Cowrie,281
A1338,2,Conpot Cowrie,103
A1460,2,Conpot Cowrie,81
A1468,2,Conpot Cowrie,77
A1479,2,Conpot Cowrie,75
A1517,2,Conpot Cowrie,64
A1540,2,Conpot Cowrie,56
A1669,2,Conpot Cowrie,39
A1677,2,Conpot Cowrie,39
A1703,2,Conpot Cowrie,36
A1925,2,Conpot Cowrie,27
A1930,2,Conpot Cowrie,27
A2072,2,Conpot Cowrie,23
A2103,2,Conpot Cowrie,22
A2104,2,Conpot Cowrie,22
A2138,2,Conpot Cowrie,21
A2308,2,Conpot Cowrie,18
A2386,2,Conpot Cowrie,16
A2455,2,Conpot Cowrie,15
A2469,2,Conpot Cowrie,15
A2517,2,Conpot Cowrie,15
A2621,2,Conpot Cowrie,13
A2689,2,Conpot Cowrie,12
A2731,2,Conpot Cowrie,11
A2866,2,Conpot Cowrie,10
A2931,2,Conpot Cowrie,10
A2972,2,Conpot Cowrie,10
A2976,2,Conpot Cowrie,10
A3011,2,Conpot Cowrie,9
A3021,2,Conpot Cowrie,9
A3040,2,Conpot Cowrie,9
A3047,2,Conpot Cowrie,9
A3066,2,Conpot Cowrie,8
A3089,2,Conpot Cowrie,8
A3100,2,Conpot Cowrie,8
A3112,2,Conpot Cowrie,8
A3150,2,Conpot Cowrie,7
A3157,2,Conpot Cowrie,7
A3217,2,Conpot Cowrie,7
A3224,2,Conpot Cowrie,7
A3274,2,Conpot Cowrie,6
A3276,2,Conpot Cowrie,6
A3339,2,Conpot Cowrie,6
A3341,2,Conpot Cowrie,6
A3342,2,Conpot Cowrie,6
A3343,2,Conpot Cowrie,6
A3563,2,Conpot Cowrie,5
A3671,2,Conpot Cowrie,5
A3672,2,Conpot Cowrie,5
A3677,2,Conpot Cowrie,5
A3708,2,Conpot Cowrie,5
A3875,2,Conpot Cowrie,4
A3896,2,Conpot Cowrie,4
A4019,2,Conpot Cowrie,4
