date,cowrie_login_success,cowrie_command_input,cowrie_other,conpot_s7,conpot_cotp,conpot_modbus,conpot_other,other
2026-04-02,0,0,0,0,0,3,0,0
2026-04-04,3,1,0,0,0,9,0,0
2026-04-05,26,14,0,4,1,11,0,0
2026-04-06,38,13,0,0,0,3,0,0
2026-04-07,40,15,0,101,6,4,5,0
2026-04-08,33,16,0,96,5,38,3,0
2026-04-09,41,38,0,0,0,12,0,0
2026-04-10,35,39,0,98,5,27,3,0
2026-04-11,40,18,0,10,0,0,0,0
2026-04-12,27,21,0,96,5,10,3,0
2026-04-13,23,26,0,0,0,0,0,0
2026-04-14,24,8,0,0,0,0,0,0
2026-04-15,19,3,0,0,0,0,0,0
2026-04-16,20,36,0,1,0,3,0,0
2026-04-17,35,31,0,2,0,3,0,0
2026-04-18,38,25,0,1,1,27,0,0
2026-04-19,51,43,0,0,0,5,0,0
2026-04-20,24,14,0,0,0,0,0,0
2026-04-21,31,35,1,2,0,2,0,0
2026-04-22,49,51,0,96,5,0,3,0
2026-04-23,16,10,0,0,0,0,0,0
